id,first_name,last_name,email,gender,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score
1,Sumaiya,Hasan,sumaiya.hasan.1@gslingacademy.com,Female,TRUE,45,Doctor,90,72,93,90,85,87
2,Mim,Alam,mim.alam.2@gslingacademy.com,Female,TRUE,31,Software Engineering,90,74,94,79,88,82
3,Fahim,Khan,fahim.khan.3@gslingacademy.com,Male,TRUE,28,Civil,91,80,79,89,96,81
4,Rafi,Islam,rafi.islam.4@gslingacademy.com,Male,TRUE,44,Biomedical,78,80,79,83,76,90
5,Tamanna,Kabir,tamanna.kabir.5@gslingacademy.com,Female,FALSE,22,Lawyer,68,82,82,87,80,79
6,Maliha,Chowdhury,maliha.chowdhury.6@gslingacademy.com,Female,TRUE,34,Software Engineering,88,77,93,85,83,80
7,Nabil,Rahman,nabil.rahman.7@gslingacademy.com,Male,TRUE,31,Civil,97,83,78,80,77,89
8,Hasan,Rahman,hasan.rahman.8@gslingacademy.com,Male,TRUE,37,Lawyer,87,93,87,83,81,87
9,Farhan,Khan,farhan.khan.9@gslingacademy.com,Male,TRUE,30,Civil,90,96,85,30,78,90
10,Sabbir,Hossain,sabbir.hossain.10@gslingacademy.com,Male,TRUE,30,Lawyer,78,95,78,90,96,84
11,Shakil,Hossain,shakil.hossain.11@gslingacademy.com,Male,TRUE,55,Doctor,83,78,80,90,88,79
12,Mim,Islam,mim.islam.12@gslingacademy.com,Female,TRUE,59,Biotechnology,87,80,95,95,93,86
13,Rahim,Rahman,rahim.rahman.13@gslingacademy.com,Male,FALSE,32,Lawyer,80,97,76,80,87,90
14,Rahim,Ahmed,rahim.ahmed.14@gslingacademy.com,Male,FALSE,34,Biotechnology,87,80,88,84,80,85
15,Fatima,Uddin,fatima.uddin.15@gslingacademy.com,Female,FALSE,27,Software Engineering,90,83,75,96,90,74
16,Fahim,Hasan,fahim.hasan.16@gslingacademy.com,Male,FALSE,45,Doctor,90,72,93,90,85,87
17,Anika,Khan,anika.khan.17@gslingacademy.com,Female,TRUE,31,Software Engineering,90,74,94,79,88,82
18,Mim,Uddin,mim.uddin.18@gslingacademy.com,Female,FALSE,28,Civil,91,80,79,89,96,81
19,Mim,Hossain,mim.hossain.19@gslingacademy.com,Female,TRUE,44,Biomedical,78,80,79,83,76,90
20,Rafi,Hasan,rafi.hasan.20@gslingacademy.com,Male,FALSE,22,Lawyer,68,82,82,87,80,79
21,Tamanna,Ahmed,tamanna.ahmed.21@gslingacademy.com,Female,FALSE,34,Software Engineering,88,77,93,85,83,80
22,Sabbir,Rahman,sabbir.rahman.22@gslingacademy.com,Male,FALSE,31,Civil,97,83,78,80,77,89
23,Maliha,Alam,maliha.alam.23@gslingacademy.com,Female,FALSE,37,Lawyer,87,93,87,83,81,87
